,APP_USER_SN,count_province,total_booking
572,24024.0,2,2
573,24151.0,2,10
574,24329.0,2,11
575,24369.0,2,4
576,24373.0,2,14
577,24407.0,2,2
578,24435.0,2,3
579,24542.0,2,33
580,24703.0,2,6
581,24746.0,2,20
582,24770.0,2,6
583,24836.0,2,2
584,24941.0,2,2
585,24958.0,2,11
586,25124.0,2,30
587,25210.0,2,3
588,25255.0,2,3
589,25305.0,2,8
590,25320.0,2,3
591,25421.0,2,2
592,25474.0,2,15
593,25537.0,2,31
594,25894.0,2,75
595,26028.0,2,9
596,26205.0,2,34
597,26345.0,2,21
598,26441.0,2,5
599,26478.0,2,9
600,26498.0,2,83
601,26503.0,2,3
602,26540.0,2,3
603,26645.0,2,4
604,26800.0,2,6
605,26824.0,2,2
606,26870.0,2,2
607,27052.0,2,11
608,27063.0,2,10
609,27140.0,2,17
610,27287.0,2,5
611,27337.0,2,11
612,27350.0,2,9
613,27446.0,2,2
614,27550.0,2,7
615,27567.0,2,2
616,27568.0,2,7
617,27627.0,2,2
618,27674.0,2,2
619,27707.0,2,4
620,27744.0,2,17
621,27773.0,2,8
622,27852.0,2,2
623,27920.0,2,7
624,27967.0,2,35
625,28006.0,2,2
626,28093.0,2,4
627,28147.0,2,9
