A,B,lift
[4771],[1514],14.337852842980253
[1514],[4771],14.337852842980253
"[2218, 2851]",[485],14.335784716516024
"[1018, 2452, 2812]",[584],14.32523614177033
"[584, 2812]",[1462],14.296516640130479
"[2452, 3906]",[584],14.270813547732365
"[1018, 3906]",[2452],14.270530924303891
"[584, 2812]",[1018],14.263614666955956
"[1514, 11931]",[1537],14.226722706165475
"[1130, 3935]",[11931],14.208452893352463
"[1190, 2812]",[1018],14.20578920208992
"[1018, 1462, 2812]",[2452],14.200767329345316
"[875, 1764]",[1003],14.19189254649228
"[584, 817]",[1462],14.176667568618132
"[584, 1018, 2812]",[830],14.161156171007802
"[830, 1018, 1462]",[2452],14.146976544006888
[738],[2851],14.103058981797243
"[1058, 2218]",[3217],14.092390139335476
"[1135, 1514]",[1764],14.080145361086831
"[660, 830]",[1018],14.047343253233157
"[1058, 1977]",[2218],14.00731534090909
"[1018, 2452, 2812]",[1462],13.961892763969235
"[830, 3451]",[1018],13.946645452134712
"[1135, 1514, 1537]",[1764],13.934214480723057
"[2452, 3906]",[1462],13.904899159350206
"[584, 850]",[1462],13.89341936644259
"[2452, 2812]",[584],13.88707800902154
"[584, 1462, 2812]",[3906],13.882588955759685
"[485, 869]",[2218],13.86862905040504
"[850, 1018]",[2812],13.856416861826698
"[856, 2812]",[1018],13.828453541523402
"[3906, 4817]",[1462],13.816921033991918
"[584, 1462, 2812]",[2452],13.81014376914958
"[1018, 1462]",[584],13.804219991736943
"[1135, 1537]",[3324],13.790151240459446
"[830, 1018, 2452]",[1462],13.772918100762645
"[806, 1058]",[2218],13.772555865921788
"[660, 2812]",[830],13.770151858963171
"[584, 1463]",[3906],13.72255911188926
"[660, 1018]",[830],13.712906329693103
"[1130, 1537]",[1514],13.705120519545398
"[897, 4771]",[1537],13.699147478288584
"[543, 830]",[2812],13.696992846725466
"[1130, 1537]",[4771],13.658402563051819
"[1018, 2452]",[830],13.648445971320818
"[1135, 1514]",[4771],13.64494600880251
"[1266, 1462]",[584],13.64381617032581
[1442],[2851],13.640856435503093
"[543, 1462]",[1463],13.562835249042145
"[1462, 2452]",[584],13.547816307151468
"[2812, 3906]",[830],13.547024398285526
"[1764, 4771]",[1537],13.535803112490232
"[830, 1462, 2812]",[543],13.53558461895372
[1126],[1135],13.507349470516044
"[897, 1764]",[3324],13.480275955849223
"[543, 1462]",[584],13.410668966802234
"[660, 1462]",[584],13.397469489472702
"[897, 1514]",[4771],13.392014215237412
"[1003, 1537]",[1514],13.378856634085729
"[830, 1018, 1462]",[584],13.362670867422127
"[584, 2452]",[3906],13.357817551933719
"[1018, 3451]",[830],13.353495478310018
"[660, 2452]",[2812],13.337142857142856
"[660, 830]",[2812],13.315257161610953
"[1523, 1721]",[726],13.307156721384205
"[1018, 1462, 2812]",[3906],13.301948353047303
"[584, 1190]",[1462],13.292356542787985
"[543, 830, 2812]",[1462],13.292356542787985
"[1141, 1537]",[1514],13.274502991700444
[2812],[1018],13.269236958745312
[1018],[2812],13.269236958745312
"[830, 2452]",[543],13.242180145827017
"[584, 850]",[817],13.23999731471536
"[1003, 1764]",[3324],13.226559298870626
"[817, 3451]",[850],13.217007345704202
"[1003, 3568]",[1764],13.193881673430345
[12606],[3935],13.190132057913633
"[850, 2452]",[1462],13.18504964524229
"[543, 1018, 2812]",[1462],13.18504964524229
"[584, 830]",[2452],13.183778141010672
[2840],[1266],13.183229724697055
"[897, 1537]",[4771],13.168145868005949
[2845],[806],13.157120081411126
"[869, 2218]",[485],13.111383235873667
"[1462, 1463]",[3906],13.107130989566027
"[1058, 2218]",[485],13.09958299096138
"[830, 1462]",[584],13.090657211087832
[1463],[584],13.078285820756475
"[830, 1462]",[2452],13.067054670418575
"[850, 856]",[817],13.065516729947792
"[1018, 1462]",[830],13.061687524190427
"[1058, 2218]",[2851],13.031681436567164
"[1141, 1514]",[1537],13.02264636824964
"[584, 1018, 2812]",[2452],13.015218420486335
[2050],[1058],12.989123329105277
[1537],[1514],12.976293749104501
[1514],[1537],12.976293749104501
[4771],[1537],12.967825407864728
[1537],[4771],12.967825407864728
"[897, 1514]",[1537],12.943358993396117
[1489],[660],12.934608131385128
"[850, 1462]",[584],12.9211362315285
"[1058, 2218]",[869],12.892846534653465
"[1018, 3451]",[2452],12.883853638291987
"[830, 850]",[2812],12.873739035833275
"[823, 824]",[780],12.858801330065697
"[1514, 3324]",[1764],12.854803499821973
"[1190, 1462]",[584],12.852519639724976
"[1130, 1764]",[1003],12.814454647838517
[3326],[1764],12.801636716780093
"[3906, 4817]",[584],12.79699869811432
"[1462, 2812]",[830],12.770443381823297
[2764],[1266],12.736958351973904
"[911, 2218]",[1058],12.721002166064983
"[543, 1462]",[1018],12.714291004855566
"[584, 1018]",[3906],12.709945202003421
"[830, 3906]",[2812],12.67619803777009
"[543, 1018]",[2452],12.67569098343017
"[1135, 1537]",[4771],12.671393562243576
[2845],[482],12.646514766592569
"[584, 1018, 1462]",[830],12.643889438399825
"[830, 2452]",[1462],12.6318797450967
"[2812, 3451]",[830],12.622639204049571
"[3324, 4771]",[1537],12.59412014821114
"[910, 1721]",[726],12.515420347243376
"[584, 1462]",[3906],12.5068368970808
"[726, 1141]",[1721],12.50129942571722
[1126],[1003],12.487191281741454
"[817, 1018]",[584],12.483547784039091
"[660, 2452]",[1018],12.440572792362767
"[1462, 2812]",[2452],12.434922057789493
[2413],[1977],12.432240329823491
"[909, 1190]",[648],12.417905978180745
"[2851, 4059]",[2218],12.400538277511961
"[660, 2812]",[584],12.393222196648363
"[830, 1018, 1462]",[543],12.366973691544507
"[850, 1018]",[1462],12.31484198289928
"[543, 584]",[2452],12.30430312861103
"[1003, 1537]",[1764],12.303971765838268
"[1514, 1764]",[1537],12.301669406685646
"[584, 1462, 3906]",[2812],12.29442077922078
"[2452, 2812]",[830],12.286836082165943
"[1463, 2812]",[1018],12.286330517356769
"[3324, 4771]",[1764],12.273516390180253
"[1462, 2452]",[1018],12.249523535670125
[1462],[584],12.19679067747297
